Title,Group 1,Group 2,Group 3,Group 4
How long is The Legend of Zelda: Breath of the Wild? | HowLongToBeat,"H4: Join for a Better Experience, H5: 50½ Hours","H4: Main Story, H5: 98 Hours","H4: Main + Sides, H5: 193 Hours","H4: Completionist, H5: 92½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Grand Theft Auto V? | HowLongToBeat,"H4: Join for a Better Experience, H5: 32 Hours","H4: Main Story, H5: 50 Hours","H4: Main + Sides, H5: 84½ Hours","H4: Completionist, H5: 44½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is The Witcher 3: Wild Hunt? | HowLongToBeat,"H4: Join for a Better Experience, H5: 51½ Hours","H4: Main Story, H5: 103 Hours","H4: Main + Sides, H5: 173 Hours","H4: Completionist, H5: 103 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Red Dead Redemption II? | HowLongToBeat,"H4: Join for a Better Experience, H5: 50½ Hours","H4: Main Story, H5: 82½ Hours","H4: Main + Sides, H5: 186 Hours","H4: Completionist, H5: 77½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Elden Ring? | HowLongToBeat,"H4: Join for a Better Experience, H5: 59½ Hours","H4: Main Story, H5: 100 Hours","H4: Main + Sides, H5: 132 Hours","H4: Completionist, H5: 105 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Assassin's Creed II? | HowLongToBeat,"H4: Join for a Better Experience, H5: 19 Hours","H4: Main Story, H5: 26 Hours","H4: Main + Sides, H5: 35½ Hours","H4: Completionist, H5: 26 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Marvel's Spider-Man? | HowLongToBeat,"H4: Join for a Better Experience, H5: 17 Hours","H4: Main Story, H5: 25½ Hours","H4: Main + Sides, H5: 35 Hours","H4: Completionist, H5: 27 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Marvel's Spider-Man: Miles Morales? | HowLongToBeat,"H4: Join for a Better Experience, H5: 7½ Hours","H4: Main Story, H5: 12½ Hours","H4: Main + Sides, H5: 18½ Hours","H4: Completionist, H5: 13 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Far Cry 3? | HowLongToBeat,"H4: Join for a Better Experience, H5: 16 Hours","H4: Main Story, H5: 25½ Hours","H4: Main + Sides, H5: 37 Hours","H4: Completionist, H5: 24 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is The Elder Scrolls V: Skyrim? | HowLongToBeat,"H4: Join for a Better Experience, H5: 34½ Hours","H4: Main Story, H5: 109 Hours","H4: Main + Sides, H5: 232 Hours","H4: Completionist, H5: 113 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Assassin's Creed IV: Black Flag? | HowLongToBeat,"H4: Join for a Better Experience, H5: 23½ Hours","H4: Main Story, H5: 41 Hours","H4: Main + Sides, H5: 61 Hours","H4: Completionist, H5: 39½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Ghost of Tsushima? | HowLongToBeat,"H4: Join for a Better Experience, H5: 25 Hours","H4: Main Story, H5: 46 Hours","H4: Main + Sides, H5: 61½ Hours","H4: Completionist, H5: 50½ Hours","H4: All Styles, H5: 88%Rating"
How long is Horizon Zero Dawn - Complete Edition? | HowLongToBeat,"H4: Join for a Better Experience, H5: 29½ Hours","H4: Main Story, H5: 52½ Hours","H4: Main + Sides, H5: 76 Hours","H4: Completionist, H5: 54½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Assassin's Creed Odyssey? | HowLongToBeat,"H4: Join for a Better Experience, H5: 45½ Hours","H4: Main Story, H5: 84½ Hours","H4: Main + Sides, H5: 143 Hours","H4: Completionist, H5: 94 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Middle-Earth: Shadow of Mordor? | HowLongToBeat,"H4: Join for a Better Experience, H5: 15½ Hours","H4: Main Story, H5: 24 Hours","H4: Main + Sides, H5: 32½ Hours","H4: Completionist, H5: 24 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Fallout 4? | HowLongToBeat,"H4: Join for a Better Experience, H5: 27 Hours","H4: Main Story, H5: 81½ Hours","H4: Main + Sides, H5: 159 Hours","H4: Completionist, H5: 79 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Red Dead Redemption? | HowLongToBeat,"H4: Join for a Better Experience, H5: 18 Hours","H4: Main Story, H5: 26½ Hours","H4: Main + Sides, H5: 46 Hours","H4: Completionist, H5: 24½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Assassin's Creed: Revelations? | HowLongToBeat,"H4: Join for a Better Experience, H5: 12½ Hours","H4: Main Story, H5: 20½ Hours","H4: Main + Sides, H5: 34½ Hours","H4: Completionist, H5: 19 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Fallout: New Vegas? | HowLongToBeat,"H4: Join for a Better Experience, H5: 27 Hours","H4: Main Story, H5: 59½ Hours","H4: Main + Sides, H5: 131 Hours","H4: Completionist, H5: 57 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is The Legend of Zelda: Tears of the Kingdom? | HowLongToBeat,"H4: Join for a Better Experience, H5: 59 Hours","H4: Main Story, H5: 116 Hours","H4: Main + Sides, H5: 240 Hours","H4: Completionist, H5: 112 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Metal Gear Solid V: The Phantom Pain? | HowLongToBeat,"H4: Join for a Better Experience, H5: 45½ Hours","H4: Main Story, H5: 81 Hours","H4: Main + Sides, H5: 163 Hours","H4: Completionist, H5: 80 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Far Cry 4? | HowLongToBeat,"H4: Join for a Better Experience, H5: 17½ Hours","H4: Main Story, H5: 31½ Hours","H4: Main + Sides, H5: 46½ Hours","H4: Completionist, H5: 31 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Horizon Zero Dawn? | HowLongToBeat,"H4: Join for a Better Experience, H5: 22½ Hours","H4: Main Story, H5: 43½ Hours","H4: Main + Sides, H5: 61 Hours","H4: Completionist, H5: 46½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Hogwarts Legacy? | HowLongToBeat,"H4: Join for a Better Experience, H5: 26½ Hours","H4: Main Story, H5: 44 Hours","H4: Main + Sides, H5: 69 Hours","H4: Completionist, H5: 47 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Far Cry 5? | HowLongToBeat,"H4: Join for a Better Experience, H5: 18 Hours","H4: Main Story, H5: 30½ Hours","H4: Main + Sides, H5: 46½ Hours","H4: Completionist, H5: 29 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Death Stranding? | HowLongToBeat,"H4: Join for a Better Experience, H5: 40½ Hours","H4: Main Story, H5: 60 Hours","H4: Main + Sides, H5: 113 Hours","H4: Completionist, H5: 57½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Saints Row: The Third? | HowLongToBeat,"H4: Join for a Better Experience, H5: 15½ Hours","H4: Main Story, H5: 27 Hours","H4: Main + Sides, H5: 45 Hours","H4: Completionist, H5: 26 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Watch Dogs? | HowLongToBeat,"H4: Join for a Better Experience, H5: 19½ Hours","H4: Main Story, H5: 33 Hours","H4: Main + Sides, H5: 62½ Hours","H4: Completionist, H5: 28 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Final Fantasy XV? | HowLongToBeat,"H4: Join for a Better Experience, H5: 28 Hours","H4: Main Story, H5: 53½ Hours","H4: Main + Sides, H5: 95 Hours","H4: Completionist, H5: 50½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Marvel's Spider-Man: Game of the Year Edition? | HowLongToBeat,"H4: Join for a Better Experience, H5: 18 Hours","H4: Main Story, H5: 29½ Hours","H4: Main + Sides, H5: 44 Hours","H4: Completionist, H5: 32½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is The Elder Scrolls V: Skyrim - Special Edition? | HowLongToBeat,"H4: Join for a Better Experience, H5: 26 Hours","H4: Main Story, H5: 114 Hours","H4: Main + Sides, H5: 206 Hours","H4: Completionist, H5: 117 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Dying Light? | HowLongToBeat,"H4: Join for a Better Experience, H5: 18 Hours","H4: Main Story, H5: 36 Hours","H4: Main + Sides, H5: 61 Hours","H4: Completionist, H5: 30½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Mafia: Definitive Edition? | HowLongToBeat,"H4: Join for a Better Experience, H5: 10½ Hours","H4: Main Story, H5: 13 Hours","H4: Main + Sides, H5: 25 Hours","H4: Completionist, H5: 12 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is The Legend of Zelda: Ocarina of Time 3D? | HowLongToBeat,"H4: Join for a Better Experience, H5: 25 Hours","H4: Main Story, H5: 31½ Hours","H4: Main + Sides, H5: 38 Hours","H4: Completionist, H5: 30½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is The Witcher 3: Wild Hunt - Game of the Year Edition? | HowLongToBeat,"H4: Join for a Better Experience, H5: 56 Hours","H4: Main Story, H5: 125 Hours","H4: Main + Sides, H5: 189 Hours","H4: Completionist, H5: 131 Hours","H4: All Styles, H5: 94%Rating"
How long is Assassin's Creed: Syndicate? | HowLongToBeat,"H4: Join for a Better Experience, H5: 19 Hours","H4: Main Story, H5: 33½ Hours","H4: Main + Sides, H5: 55 Hours","H4: Completionist, H5: 33½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Outer Wilds? | HowLongToBeat,"H4: Join for a Better Experience, H5: 17 Hours","H4: Main Story, H5: 22 Hours","H4: Main + Sides, H5: 27½ Hours","H4: Completionist, H5: 21½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is The Legend of Zelda: A Link to the Past? | HowLongToBeat,"H4: Join for a Better Experience, H5: 15 Hours","H4: Main Story, H5: 17 Hours","H4: Main + Sides, H5: 17½ Hours","H4: Completionist, H5: 16½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Shadow of the Colossus? | HowLongToBeat,"H4: Join for a Better Experience, H5: 7 Hours","H4: Main Story, H5: 9½ Hours","H4: Main + Sides, H5: 26½ Hours","H4: Completionist, H5: 8½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Watch Dogs 2? | HowLongToBeat,"H4: Join for a Better Experience, H5: 19 Hours","H4: Main Story, H5: 31½ Hours","H4: Main + Sides, H5: 46½ Hours","H4: Completionist, H5: 29½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Marvel's Spider-Man 2? | HowLongToBeat,"H4: Join for a Better Experience, H5: 17 Hours","H4: Main Story, H5: 23½ Hours","H4: Main + Sides, H5: 28 Hours","H4: Completionist, H5: 25½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Horizon Forbidden West? | HowLongToBeat,"H4: Join for a Better Experience, H5: 28 Hours","H4: Main Story, H5: 61½ Hours","H4: Main + Sides, H5: 88½ Hours","H4: Completionist, H5: 64 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Days Gone? | HowLongToBeat,"H4: Join for a Better Experience, H5: 36½ Hours","H4: Main Story, H5: 50½ Hours","H4: Main + Sides, H5: 65 Hours","H4: Completionist, H5: 51 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Pokémon Scarlet and Violet? | HowLongToBeat,"H4: Join for a Better Experience, H5: 32 Hours","H4: Main Story, H5: 48½ Hours","H4: Main + Sides, H5: 85 Hours","H4: Completionist, H5: 48 Hours","H4: All Styles, H5: 72%Rating"
How long is Fallout 3? | HowLongToBeat,"H4: Join for a Better Experience, H5: 22½ Hours","H4: Main Story, H5: 52 Hours","H4: Main + Sides, H5: 114 Hours","H4: Completionist, H5: 47 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Grand Theft Auto III? | HowLongToBeat,"H4: Join for a Better Experience, H5: 15 Hours","H4: Main Story, H5: 20½ Hours","H4: Main + Sides, H5: 38½ Hours","H4: Completionist, H5: 19½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Assassin's Creed Valhalla? | HowLongToBeat,"H4: Join for a Better Experience, H5: 61 Hours","H4: Main Story, H5: 97½ Hours","H4: Main + Sides, H5: 146 Hours","H4: Completionist, H5: 104 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Sleeping Dogs: Definitive Edition? | HowLongToBeat,"H4: Join for a Better Experience, H5: 14½ Hours","H4: Main Story, H5: 23½ Hours","H4: Main + Sides, H5: 41 Hours","H4: Completionist, H5: 24 Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Far Cry 3: Blood Dragon? | HowLongToBeat,"H4: Join for a Better Experience, H5: 4½ Hours","H4: Main Story, H5: 7 Hours","H4: Main + Sides, H5: 9 Hours","H4: Completionist, H5: 6½ Hours","H4: All Styles, H5: Powered byIGNWiki Guides"
How long is Subnautica? | HowLongToBeat,"H4: Join for a Better Experience, H5: 30 Hours","H4: Main Story, H5: 43 Hours","H4: Main + Sides, H5: 53 Hours","H4: Completionist, H5: 42½ Hours","H4: All Styles, H5: 85%Rating"
